Time(s),Temp(K),Field(Oe),Helmholtz_Current(A),Helmholtz_Field(G),Hall_Voltage(V),Hall_Voltage_Error(V),Hall_Field(G),Hall_Field_Error(G),Channel,LockIn_X(V),LockIn_X_Error(V),LockIn_Y(V),LockIn_Y_Error(V),LockIn_R(V),LockIn_R_Error(V),LockIn_Theta(deg),LockIn_Theta_Error(deg),LockIn_Average_Count,Frequency(Hz),Sensitivity(V),Resistor(Ohm),Output_Voltage(V),Output_Current(A),Time_Constant(s),Sample_Resistance(Ohm),Sample_Resistance_Error(Ohm),IV_Point,IV_Source_Current(mA),IV_Source_Voltage(V),IV_Measured_Voltage(V),IV_Measured_Current(mA),Measurement_Type,Notes
2.384185791015625e-07,8.0,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,167956767.4472435,0.0,nan,1e-05,nan,1.6795676744724353,nan,Resistance,
1.2415103912353516,8.0,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-111735118.26300102,0.0,nan,1e-05,nan,-1.1173511826300102,nan,Resistance,
7.48898720741272,7.000000953674316,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-390640065.7681268,0.0,nan,1e-05,nan,-3.9064006576812678,nan,Resistance,
8.724405527114868,7.000000953674316,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-308421976.005729,0.0,nan,1e-05,nan,-3.08421976005729,nan,Resistance,
9.978361129760742,6.666667938232422,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-222002831.06497318,0.0,nan,1e-05,nan,-2.220028310649732,nan,Resistance,
11.268543481826782,6.666667938232422,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,159658069.69460115,0.0,nan,1e-05,nan,1.5965806969460115,nan,Resistance,
12.560967683792114,6.333334922790527,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-197578939.51913187,0.0,nan,1e-05,nan,-1.9757893951913188,nan,Resistance,
13.844868659973145,6.000001907348633,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-373355093.95055497,0.0,nan,1e-05,nan,-3.73355093950555,nan,Resistance,
15.098100900650024,6.000001907348633,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-396429764.90948284,0.0,nan,1e-05,nan,-3.9642976490948287,nan,Resistance,
16.341390371322632,5.666668891906738,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98930587.5503234,0.0,nan,1e-05,nan,0.989305875503234,nan,Resistance,
17.656676292419434,5.333335876464844,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,162439534.6465283,0.0,nan,1e-05,nan,1.624395346465283,nan,Resistance,
18.949928283691406,5.333335876464844,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,210330162.27005893,0.0,nan,1e-05,nan,2.1033016227005894,nan,Resistance,
20.190603494644165,5.000002861022949,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,229394049.07099682,0.0,nan,1e-05,nan,2.2939404907099683,nan,Resistance,
21.438241243362427,5.000002861022949,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36663415.99894116,0.0,nan,1e-05,nan,0.3666341599894116,nan,Resistance,
22.755791664123535,4.666669845581055,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-174375934.5222486,0.0,nan,1e-05,nan,-1.743759345222486,nan,Resistance,
23.99251365661621,4.33333683013916,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-89517630.07648925,0.0,nan,1e-05,nan,-0.8951763007648925,nan,Resistance,
25.273538827896118,4.33333683013916,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-86431525.38977942,0.0,nan,1e-05,nan,-0.8643152538977942,nan,Resistance,
26.571077346801758,4.000003814697266,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78677271.43876597,0.0,nan,1e-05,nan,0.7867727143876597,nan,Resistance,
27.858723878860474,3.666670322418213,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-30991291.187407684,0.0,nan,1e-05,nan,-0.3099129118740768,nan,Resistance,
29.155452489852905,3.666670322418213,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-255834252.3787731,0.0,nan,1e-05,nan,-2.558342523787731,nan,Resistance,
30.453540563583374,3.33333683013916,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-238183639.2400557,0.0,nan,1e-05,nan,-2.3818363924005572,nan,Resistance,
31.720850944519043,3.0000033378601074,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,108436039.82188934,0.0,nan,1e-05,nan,1.0843603982188934,nan,Resistance,
32.96047806739807,3.0000033378601074,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-390455795.379721,0.0,nan,1e-05,nan,-3.9045579537972097,nan,Resistance,
34.243985414505005,2.6666698455810547,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-47821873.57823633,0.0,nan,1e-05,nan,-0.4782187357823633,nan,Resistance,
35.522600412368774,2.6666698455810547,0.0,0.0,0.0,nan,nan,nan,nan,a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26670531.854527466,0.0,nan,1e-05,nan,0.2667053185452747,nan,Resistance,
36.80435395240784,2.333336353302002,0.0,0.0,0.0,nan,nan,nan,nan,b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-177820856.8402909,0.0,nan,1e-05,nan,-1.778208568402909,nan,Resistance,
