[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,14-Apr-26 12:35:49 AM
BYAPP, Electrical Transport Option, Release 1.3.1 Build 0
INFO, APPNAME, ETOption, Release 1.3.1 Build 0
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3985288548.06601,2.79843258857727,0.142378360033035,0,0.252,0.0005612388,0.01388228,47.11043,,,128.1738,4.595323,0.0005,0,4.123092E-10,2.806125E-10,3.020853E-10,,,,,,90000,-86.85806,-88.95522,,,,,,,,,,,,,,,,,,,,,124337024,0,1,4,1,,,,,,,,,,,,,,,,
,3985288575.03907,2.80039978027344,0.195770248770714,0,0.249,,,,,,,,,,,,,,,,,,,,,17.98475,0.5889882,-0.07344247,,,143.4326,4.594492,0.0005,0,8.992318E-06,8.992311E-06,-1.152647E-08,,,,,,90000,-84.86525,-87.18457,426327424,0,1,4,1,,,,,,,,,,,,,,,,
,3985288664.33374,2.79165363311768,0.213567554950714,0,0.238,0.0002895218,0.004628386,-77.10542,,,128.1738,4.595323,0.0005,0,6.486766E-10,1.447574E-10,-6.323184E-10,,,,,,90000,-91.00272,-73.41586,,,,,,,,,,,,,,,,,,,,,124337024,0,1,4,1,,,,,,,,,,,,,,,,
,3985288690.93892,2.79533171653748,0.160175666213036,0,0.229,,,,,,,,,,,,,,,,,,,,,17.78296,1.021996,-0.0754953,,,143.4326,4.594492,0.0005,0,8.891424E-06,8.891417E-06,-1.171571E-08,,,,,,90000,-94.19707,-94.17821,426327424,0,1,4,1,,,,,,,,,,,,,,,,
,3985288780.15244,2.79044890403748,0.124581068754196,0,0.219,0.00138302,0.01998021,-18.58974,,,128.1738,4.595323,0.0005,0,7.295572E-10,6.91493E-10,-2.325752E-10,,,,,,90000,-88.42216,-90.28793,,,,,,,,,,,,,,,,,,,,,124337024,0,1,4,1,,,,,,,,,,,,,,,,
,3985288807.19112,2.78990626335144,0.177972957491875,0,0.217,,,,,,,,,,,,,,,,,,,,,17.59784,0.6676036,-0.07832206,,,143.4326,4.594492,0.0005,0,8.798863E-06,8.798855E-06,-1.202785E-08,,,,,,90000,-85.35992,-87.11745,426327424,0,1,4,1,,,,,,,,,,,,,,,,
,3985288897.09871,2.78536868095398,0.391540497541428,0,0.211,0.002255083,0.01839774,-21.96972,,,128.1738,4.595323,0.0005,0,1.215803E-09,1.127514E-09,-4.548521E-10,,,,,,90000,-98.44556,-87.27794,,,,,,,,,,,,,,,,,,,,,124337024,0,1,4,1,,,,,,,,,,,,,,,,
,3985288924.31267,2.78479719161987,0.391540497541428,0,0.209,,,,,,,,,,,,,,,,,,,,,17.33115,0.0343949,-0.07962499,,,143.4326,4.594492,0.0005,0,8.665518E-06,8.66551E-06,-1.204262E-08,,,,,,90000,-84.24928,-81.46811,426327424,0,1,4,1,,,,,,,,,,,,,,,,
,3985289012.09707,2.78037190437317,0.33814862370491,0,0.204,-0.0007479599,-0.01206735,-127.062,,,128.1738,4.595323,0.0005,0,6.205144E-10,-3.739708E-10,-4.951606E-10,,,,,,90000,-93.23921,-85.87704,,,,,,,,,,,,,,,,,,,,,124337024,0,1,4,1,,,,,,,,,,,,,,,,
