[Header]
; RT |dR/dT| analysis output
TITLE, WinWrapPPMSControl RT post-analysis
DATATYPE, COMMENT,1
DATATYPE, TIME,2
BYAPP, MultiVuDataFile VBA class
STARTUPAXIS, X, 3, LINEAR, AUTO
STARTUPAXIS, Y3, 5, LINEAR, AUTO
STARTUPAXIS, Y4, 6, LINEAR, AUTO
[Data]
Comment,Time Stamp (sec),Temperature (K),Field (Oe),Ch2_Resistance_Ohm,Ch2_abs_dRdT_OhmPerK
,,2.79843258857727,0.142378360033035,,
,,2.80039978027344,0.195770248770714,17.98475,39.8159949268614
,,2.79165363311768,0.213567554950714,,
,,2.79533171653748,0.160175666213036,17.78296,36.8713371194762
,,2.79044890403748,0.124581068754196,,
,,2.78990626335144,0.177972957491875,17.59784,42.8885026646743
,,2.78536868095398,0.391540497541428,,
,,2.78479719161987,0.391540497541428,17.33115,53.7399896238164
,,2.78037190437317,0.33814862370491,,
,,2.78059029579163,-0.160175666213036,17.0972,49.933901092982
,,2.77513718605042,-0.195770248770714,,
,,2.7747757434845,-0.195770248770714,16.83074,55.4060064383898
,,2.76999855041504,-0.231364846229553,,
,,2.76992845535278,-0.160175666213036,16.50647,73.7478176112034
,,2.76493906974792,-0.160175666213036,,
,,2.76520013809204,-0.160175666213036,16.12456,87.9184258264213
,,2.76010751724243,0.409337788820267,,
,,2.7599937915802,0.320351332426071,15.63303,118.866716529559
,,2.75499796867371,0.33814862370491,,
,,2.75499963760376,0.266959428787231,14.91206,175.808240805246
,,2.7501277923584,0.213567554950714,,
,,2.75063848495483,0.249162137508392,13.98829,209.826996140246
,,2.74517703056335,0.195770248770714,,
,,2.74524974822998,0.195770248770714,12.86627,212.068257930408
,,2.7400975227356,0.213567554950714,,
,,2.74029874801636,0.213567554950714,11.79556,197.694001121623
,,2.73490738868713,0.284756720066071,,
,,2.73484230041504,0.213567554950714,10.80878,172.032507377399
,,2.72991514205933,0.266959428787231,,
,,2.73029017448425,0.177972957491875,10.07376,136.419988590243
,,2.72478222846985,0.213567554950714,,
,,2.72508096694946,0.33814862370491,9.477139,110.486161446197
,,2.71987748146057,0.30255401134491,,
,,2.72002911567688,0.249162137508392,8.940055,105.807708451182
,,2.71456503868103,0.213567554950714,,
,,2.71528840065002,0.231364846229553,8.44101,98.987888413986
,,2.70999002456665,0.213567554950714,,
,,2.71026253700256,0.177972957491875,7.973282,91.6463260044513
,,2.70506000518799,-0.284756720066071,,
,,2.70514297485352,-0.30255401134491,7.511219,89.9471179721749
,,2.70020222663879,-0.284756720066071,,
,,2.69991612434387,-0.266959428787231,7.042652,91.6178949012416
,,2.69490575790405,-0.569513440132141,,
,,2.69491600990295,-0.284756720066071,6.574246,93.799408295063
,,2.69018220901489,-0.195770248770714,,
,,2.69009137153625,-0.160175666213036,6.121096,95.6049115795791
,,2.68494129180908,-0.177972957491875,,
,,2.68502688407898,-0.160175666213036,5.628797,96.7541142907354
,,2.67987704277039,-0.142378360033035,,
,,2.67964673042297,-0.124581068754196,5.110534,104.514039600171
,,2.67507529258728,-0.160175666213036,,
,,2.67491221427917,-0.124581068754196,4.571672,114.863349133124
,,2.67000126838684,-0.160175666213036,,
,,2.67001986503601,-0.195770248770714,4.00476,122.200922148706
,,2.66474533081055,-0.177972957491875,,
,,2.66514372825623,0.195770248770714,3.377954,123.497939661422
,,2.66007828712463,0.373743206262589,,
,,2.66002321243286,0.427135109901428,2.770194,116.934515922205
,,2.65516138076782,0.391540497541428,,
,,2.6547839641571,0.409337788820267,2.16654,112.072383683695
,,2.64997673034668,0.444932401180267,,
,,2.65003705024719,0.409337788820267,1.651021,97.3613156987132
,,2.64509534835815,0.373743206262589,,
,,2.64511370658875,0.444932401180267,1.225031,77.4337169923171
,,2.63982582092285,0.409337788820267,,
,,2.64003872871399,0.391540497541428,0.8768138,59.7498824942819
